id,x,y,vx,vy,energy,alive
0,114.65987,82.35544,-0.2802217,0.15927769,1,1
1,60.868587,114.213066,-0.11551606,0.3964021,1,1
2,60.143143,108.506485,0.0059670834,0.36046353,1,1
3,109.404686,109.232895,-0.33173266,-0.14397338,1,1
4,84.74731,79.04499,0.04029956,-0.21404049,1,1
5,76.46421,67.29765,0.16325805,0.008269082,1,1
6,116.59282,17.802807,0.3258815,0.014443455,1,1
7,44.378887,13.061967,-0.08015812,0.26693618,1,1
8,29.20945,102.49455,0.29443967,-0.29474768,1,1
9,117.08719,114.78255,-0.007167381,0.13250951,1,1
10,68.42702,79.05877,-0.07202312,-0.076212555,1,1
11,88.51461,30.800144,0.22579211,-0.22361408,1,1
12,84.17255,92.48321,0.1925022,-0.4418066,1,1
13,80.408936,21.982393,-0.09189888,0.33868474,1,1
14,44.298317,75.18497,0.3018923,-0.27823147,1,1
15,105.05937,56.885494,-0.12749667,-0.22539254,1,1
16,53.7697,16.414732,-0.18452188,-0.06890085,1,1
17,90.08333,48.622997,0.0707314,-0.1569824,1,1
18,29.453075,51.707752,0.13010275,-0.34557998,1,1
19,104.373985,51.52818,0.15137206,0.3103357,1,1
20,21.39741,23.669031,-0.039074875,0.18963926,1,1
21,64.28224,24.50664,0.16368042,0.2639876,1,1
22,21.920454,115.06128,0.14981274,0.2933652,1,1
23,62.296253,111.52335,0.4717087,0.09148976,1,1
24,90.12867,13.159723,-0.084736735,0.082602456,1,1
25,66.57965,114.1397,0.06945111,-0.07938749,1,1
26,59.511578,47.66756,-0.17143235,0.13317515,1,1
27,59.213196,99.001564,-0.08804653,0.14054264,1,1
28,106.07044,64.245186,0.47253615,-0.013934085,1,1
29,83.54404,117.66526,0.37874627,0.28018257,1,1
30,14.574372,26.919327,-0.1869555,-0.019404637,1,1
31,99.547516,51.9078,0.039697308,0.43889838,1,1
32,20.718365,31.31706,-0.25089183,0.2138569,1,1
33,89.40512,59.21401,-0.121186346,-0.025250584,1,1
34,40.131516,11.868555,0.14933455,0.2505294,1,1
35,82.54185,50.563457,-0.15168801,0.13711509,1,1
36,97.81477,37.709686,-0.11014889,0.43865016,1,1
37,100.66655,75.26422,-0.064945005,0.11014403,1,1
38,24.69766,49.45064,-0.22346123,-0.1009319,1,1
39,29.816061,49.710464,0.30518442,-0.23397027,1,1
40,60.937866,45.11606,0.1884516,-0.23926516,1,1
41,50.123085,82.35284,0.071957864,0.09053593,1,1
42,37.9309,82.64761,-0.37576005,0.21898171,1,1
43,95.06418,45.05972,0.019743944,0.16900328,1,1
44,82.89487,13.030565,0.05024271,0.27830696,1,1
45,17.59075,27.053068,0.015468316,-0.2928329,1,1
46,57.443417,31.983978,0.2570398,0.010794558,1,1
